Symbol,Previous Close,Last Price,Change,% Change,Market Cap,Year High,Year Low
AMBUJACEM,664.5,689.0,26.5,4.0,398198393947.39,689.0,404.05
ICICIGI,1662.7,1689.0,26.3,1.58,443645497221.37,1766.95,1200.1
GUJGASLTD,636.2,646.2,10.0,1.57,108412839810.94,648.95,397.05
HAVELLS,1838.5,1864.95,26.45,1.44,460875233922.6,1985.4,1232.85
IDEA,16.07,16.3,0.23,1.43,353302802144.88,18.4,7.15
POWERGRID,321.45,326.0,4.55,1.42,1465170622626.17,348.7,177.53
NATIONALUM,186.56,189.16,2.6,1.39,172790318520.96,206.3,80.65
HINDALCO,680.7,690.0,9.3,1.37,996337153719.9,715.25,407.45
BEL,300.9,305.0,4.1,1.36,1109280866637.24,323.0,117.9
ACC,2635.8,2664.0,35.7,1.36,179960289878.16,2746.4,1754.0
GMRINFRA,91.73,92.88,1.15,1.25,232501594020.36,94.55,41.75
LTF,175.87,178.0,2.13,1.21,149474020562.7,183.76,108.55
CANBK,121.92,120.0,1.3,1.1,405757442813.58,128.9,58.33
HINDPETRO,528.35,534.0,5.65,1.07,342345364840.58,594.8,239.2
SHRIRAMFIN,2684.3,2712.0,27.7,1.03,759655978017.63,2747.0,1390.1
BALRAMCHIN,439.15,443.5,4.35,0.99,49448739949.5,485.9,343.5
HDFCLIFE,593.5,599.15,5.65,0.95,629057591077.98,710.6,511.4
DIXON,10855.7,10959.0,103.3,0.95,423704274714.0,11458.9,3953.0
BALKRISIND,3190.05,3220.0,29.95,0.94,257198855435.5,3283.5,2193.8
OBEROIRLTY,1934.9,1952.55,17.65,0.91,221349406614.02,1953.05,975.0
INDIACEM,218.73,220.6,1.87,0.85,27444496120.56,277.0,172.55
PEL,880.6,887.95,7.35,0.83,105294252779.1,1139.95,736.6
CANFINHOME,817.35,824.15,6.8,0.83,69840204064.31,909.8,680.0
MFSL,987.8,996.0,8.2,0.83,243291763849.39,1092.0,668.3
HAL,5099.7,5140.0,40.3,0.79,971489316000.0,5444.0,1767.8
BOSCHLTD,32433.15,32680.0,246.85,0.76,276203632528.56,32927.95,17931.15
ADANIPORTS,1404.45,1409.0,10.55,0.75,1050039220886.61,1621.4,703.0
INDIAMART,2571.25,2590.0,18.75,0.73,77373100920.0,3335.55,2230.0
INDIGO,4302.65,4334.0,31.35,0.73,610009248130.0,4609.8,2333.35
NAVINFLUOR,3562.05,3588.0,25.95,0.73,122797038154.0,4724.25,2875.95
ABB,8446.6,8506.65,60.05,0.71,478436133656.25,9145.0,3850.0
AUBANK,668.15,672.65,4.5,0.67,368422859979.0,813.4,553.7
INFY,1493.95,1503.7,9.75,0.65,5314882686082.45,1733.0,1262.25
IRCTC,1017.55,1024.0,6.45,0.63,309198400000.0,1138.9,614.35
ASTRAL,2236.2,2250.0,13.8,0.62,280623891221.94,2352.0,1740.0
IGL,487.05,490.0,2.95,0.61,168525192600.0,501.0,375.7
UBL,2118.3,2131.05,12.75,0.6,156062495145.76,2182.45,1467.0
ICICIBANK,1107.35,1114.0,6.65,0.6,7772332243123.95,1173.0,899.0
PVRINOX,1391.65,1400.0,8.35,0.6,98078705634.67,1875.45,1204.2
AARTIIND,675.25,679.3,4.05,0.6,134679311603.38,769.25,438.0
MGL,1461.35,1470.0,8.65,0.59,82174715184.87,1580.0,970.55
MARICO,611.25,614.85,3.6,0.59,320038448563.08,667.2,486.3
ZYDUSLIFE,1090.5,1096.9,6.4,0.59,279355711473.75,1172.5,515.6
FEDERALBNK,172.26,173.26,1.0,0.58,391771262207.72,175.1,121.0
